"Record.number","In-refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
12763,"n/a",6039,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",3.41E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12764,"n/a",6040,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12765,"n/a",6041,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.89E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12766,"n/a",6042,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E+000,"g","Atlantic Ocean"
12767,"n/a",6043,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12768,"n/a",6044,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.24E-001,"g","Atlantic Ocean"
12769,"n/a",6045,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12770,"n/a",6046,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12771,"n/a",6047,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.22E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.37E-002,"g","Atlantic Ocean"
12772,"n/a",6048,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.66E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.26E-003,"g","Atlantic Ocean"
12773,"n/a",6049,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",9.81E-002,"g","Atlantic Ocean"
12774,"n/a",6049,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.17E-001,"g","Atlantic Ocean"
12775,"n/a",6050,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.01E+000,"g","Atlantic Ocean"
12776,"n/a",6051,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.29E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.24E-001,"g","Atlantic Ocean"
12777,"n/a",6052,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.77E+001,"g","Atlantic Ocean"
12778,"n/a",6053,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.14E-001,"g","Atlantic Ocean"
12779,"n/a",6054,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.61E-001,"g","Atlantic Ocean"
12780,"n/a",6055,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.44E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.09E+000,"g","Atlantic Ocean"
12781,"n/a",6056,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.78E+000,"g","Atlantic Ocean"
12782,"n/a",6056,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12783,"n/a",6057,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.74E+000,"g","Atlantic Ocean"
12784,"n/a",6058,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.24E-001,"g","Atlantic Ocean"
12785,"n/a",6059,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.14E-001,"g","Atlantic Ocean"
12786,"n/a",6060,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.32E-001,"g","Atlantic Ocean"
12787,"n/a",6060,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12788,"n/a",6061,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",9.21E-001,"g","Atlantic Ocean"
12789,"n/a",6062,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12790,"n/a",6063,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.54E-002,"g","Atlantic Ocean"
12791,"n/a",6064,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.33E-002,"g","Atlantic Ocean"
12792,"n/a",6065,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.66E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12793,"n/a",6066,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",9.47E-003,"g","Atlantic Ocean"
12794,"n/a",6067,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12795,"n/a",6068,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.51E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12796,"n/a",6069,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.88E-003,"g","Atlantic Ocean"
12797,"n/a",6070,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12798,"n/a",6070,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12799,"n/a",6071,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.29E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12800,"n/a",6072,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.26E-003,"g","Atlantic Ocean"
12801,"n/a",6072,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.33E-002,"g","Atlantic Ocean"
12802,"n/a",6073,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.89E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.61E-001,"g","Atlantic Ocean"
12803,"n/a",6074,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.15E+001,"g","Atlantic Ocean"
12804,"n/a",6075,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.89E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.61E-001,"g","Atlantic Ocean"
12805,"n/a",6076,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.14E+000,"g","Atlantic Ocean"
12806,"n/a",6077,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.39E+000,"g","Atlantic Ocean"
12807,"n/a",6078,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",3.75E+001,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.29E+000,"g","Atlantic Ocean"
12808,"n/a",6079,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.30E+000,"g","Atlantic Ocean"
12809,"n/a",6080,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.20E+001,"g","Atlantic Ocean"
12810,"n/a",6081,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",8.42E-001,"g","Atlantic Ocean"
12811,"n/a",6082,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.44E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.39E-001,"g","Atlantic Ocean"
12812,"n/a",6083,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12813,"n/a",6084,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.24E-001,"g","Atlantic Ocean"
12814,"n/a",6085,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.33E+000,"g","Atlantic Ocean"
12815,"n/a",6086,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.23E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.32E-001,"g","Atlantic Ocean"
12816,"n/a",6087,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.24E-001,"g","Atlantic Ocean"
12817,"n/a",6088,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.42E+000,"g","Atlantic Ocean"
12818,"n/a",6089,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12819,"n/a",6089,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12820,"n/a",6090,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12821,"n/a",6091,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.36E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12822,"n/a",6092,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.85E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12823,"n/a",6093,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",3.75E+001,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.10E-003,"g","Atlantic Ocean"
12824,"n/a",6094,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",3.41E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12825,"n/a",6095,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12826,"n/a",6096,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.66E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12827,"n/a",6096,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.66E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12828,"n/a",6097,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.85E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.39E-001,"g","Atlantic Ocean"
12829,"n/a",6098,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12830,"n/a",6099,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.44E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12831,"n/a",6100,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12832,"n/a",6101,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.85E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12833,"n/a",6102,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.88E-003,"g","Atlantic Ocean"
12834,"n/a",6103,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.54E-002,"g","Atlantic Ocean"
12835,"n/a",6103,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12836,"n/a",6104,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.33E-002,"g","Atlantic Ocean"
12837,"n/a",6105,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.22E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.86E-001,"g","Atlantic Ocean"
12838,"n/a",6106,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-001,"g","Atlantic Ocean"
12839,"n/a",6107,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-001,"g","Atlantic Ocean"
12840,"n/a",6108,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",3.41E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12841,"n/a",6109,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12842,"n/a",6110,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",3.41E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12843,"n/a",6111,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12844,"n/a",6112,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.24E-001,"g","Atlantic Ocean"
12845,"n/a",6113,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.66E-001,"g","Atlantic Ocean"
12846,"n/a",6114,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12847,"n/a",6115,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12848,"n/a",6116,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.17E-001,"g","Atlantic Ocean"
12849,"n/a",6116,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.96E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12850,"n/a",6117,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12851,"n/a",6118,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.29E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12852,"n/a",6119,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.93E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.61E-001,"g","Atlantic Ocean"
12853,"n/a",6120,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.86E-001,"g","Atlantic Ocean"
12854,"n/a",6121,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",6.66E-002,"g","Atlantic Ocean"
12855,"n/a",6122,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12856,"n/a",6122,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.17E-001,"g","Atlantic Ocean"
12857,"n/a",6123,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12858,"n/a",6124,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.62E-001,"g","Atlantic Ocean"
12859,"n/a",6125,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.50E+000,"g","Atlantic Ocean"
12860,"n/a",6125,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.37E-002,"g","Atlantic Ocean"
12861,"n/a",6126,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.12E-001,"g","Atlantic Ocean"
12862,"n/a",6126,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.33E-002,"g","Atlantic Ocean"
12863,"n/a",6127,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",1.85E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",7.90E+000,"g","Atlantic Ocean"
12864,"n/a",6128,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.20E+001,"g","Atlantic Ocean"
12865,"n/a",6129,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12866,"n/a",6130,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.03E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12867,"n/a",6131,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.21E-003,"g","Atlantic Ocean"
12868,"n/a",6132,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.50E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",3.74E+000,"g","Atlantic Ocean"
12869,"n/a",6133,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.37E-002,"g","Atlantic Ocean"
12870,"n/a",6134,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",4.61E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",5.71E-001,"g","Atlantic Ocean"
12871,"n/a",6135,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",7.38E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.39E+000,"g","Atlantic Ocean"
12872,"n/a",6136,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.39E-001,"g","Atlantic Ocean"
12873,"n/a",6137,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",4.09E+002,"g","Atlantic Ocean"
12874,"n/a",6138,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.18E-001,"g","Atlantic Ocean"
12875,"n/a",6139,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",6.09E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.78E+000,"g","Atlantic Ocean"
12876,"n/a",6140,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.32E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",9.81E-002,"g","Atlantic Ocean"
12877,"n/a",6141,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",5.69E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",1.89E-002,"g","Atlantic Ocean"
12878,"n/a",6142,"Raja erinacea","Little skate","ectotherm vertebrate","adult","predacious",2.66E+002,"unidentified invertebrate","unidentified invertebrate","ectotherm invertebrate",2.78E+000,"g","Atlantic Ocean"
12879,"n/a",6143,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",6.44E+002,"fish unidentified","fish","ectotherm vertebrate",5.51E+000,"g","Atlantic Ocean"
12880,"n/a",6144,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",1.85E+000,"g","Atlantic Ocean"
12881,"n/a",6145,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",5.57E+002,"fish unidentified","fish","ectotherm vertebrate",4.57E+000,"g","Atlantic Ocean"
12882,"n/a",6146,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",3.30E+003,"fish unidentified","fish","ectotherm vertebrate",9.41E+000,"g","Atlantic Ocean"
12883,"n/a",6147,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",6.00E+002,"fish unidentified","fish","ectotherm vertebrate",1.57E+000,"g","Atlantic Ocean"
12884,"n/a",6148,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",1.36E+002,"fish unidentified","fish","ectotherm vertebrate",4.29E-001,"g","Atlantic Ocean"
12885,"n/a",6149,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",2.75E+000,"g","Atlantic Ocean"
12886,"n/a",6149,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",2.05E+000,"g","Atlantic Ocean"
12887,"n/a",6150,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",9.26E+001,"fish unidentified","fish","ectotherm vertebrate",1.25E+000,"g","Atlantic Ocean"
12888,"n/a",6151,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",1.72E+002,"fish unidentified","fish","ectotherm vertebrate",2.27E+000,"g","Atlantic Ocean"
12889,"n/a",6152,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",8.04E+001,"fish unidentified","fish","ectotherm vertebrate",3.43E+000,"g","Atlantic Ocean"
12890,"n/a",6153,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",1.95E+000,"g","Atlantic Ocean"
12891,"n/a",6154,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",6.44E+002,"fish unidentified","fish","ectotherm vertebrate",3.43E+000,"g","Atlantic Ocean"
12892,"n/a",6155,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",1.95E+000,"g","Atlantic Ocean"
12893,"n/a",6156,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",2.86E+002,"fish unidentified","fish","ectotherm vertebrate",1.19E+001,"g","Atlantic Ocean"
12894,"n/a",6157,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",6.93E+001,"fish unidentified","fish","ectotherm vertebrate",3.43E+000,"g","Atlantic Ocean"
12895,"n/a",6158,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",1.06E+002,"fish unidentified","fish","ectotherm vertebrate",1.25E+000,"g","Atlantic Ocean"
12896,"n/a",6159,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",1.66E+000,"g","Atlantic Ocean"
12897,"n/a",6159,"Pomatomus saltatrix","Bluefish","ectotherm vertebrate","adult","piscivorous",4.78E+002,"fish unidentified","fish","ectotherm vertebrate",1.95E+000,"g","Atlantic Ocean"
